Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2.0,Laboratory Technician,3.0,Single,4193.0,12682.0,0.0,Y,Yes,12.0,3.0,4.0,80.0,0.0,10.0,3.0,3.0,9.0,5.0,0.0,8.0
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1.0,Research Scientist,3.0,Divorced,2911.0,15170.0,1.0,Y,No,17.0,3.0,4.0,80.0,1.0,5.0,1.0,2.0,5.0,2.0,4.0,3.0
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1.0,Laboratory Technician,4.0,Divorced,2661.0,8758.0,0.0,Y,No,11.0,3.0,3.0,80.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1.0,Laboratory Technician,3.0,Single,2028.0,12947.0,5.0,Y,Yes,14.0,3.0,2.0,80.0,0.0,6.0,4.0,3.0,4.0,2.0,0.0,3.0
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3.0,Manufacturing Director,1.0,Divorced,9980.0,10195.0,1.0,Y,No,11.0,3.0,3.0,80.0,1.0,10.0,1.0,3.0,10.0,9.0,8.0,8.0
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1.0,Research Scientist,2.0,Divorced,3298.0,15053.0,0.0,Y,Yes,12.0,3.0,4.0,80.0,2.0,7.0,5.0,2.0,6.0,2.0,0.0,5.0
22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1.0,Laboratory Technician,4.0,Divorced,2935.0,7324.0,1.0,Y,Yes,13.0,3.0,2.0,80.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4.0,Manager,4.0,Married,15427.0,22021.0,2.0,Y,No,16.0,3.0,3.0,80.0,0.0,31.0,3.0,3.0,25.0,8.0,3.0,7.0
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1.0,Research Scientist,4.0,Single,3944.0,4306.0,5.0,Y,Yes,11.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2.0,Manufacturing Director,3.0,Divorced,4011.0,8232.0,0.0,Y,No,18.0,3.0,4.0,80.0,1.0,5.0,5.0,2.0,4.0,2.0,1.0,3.0
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1.0,Sales Representative,1.0,Single,3407.0,6986.0,7.0,Y,No,23.0,4.0,2.0,80.0,0.0,10.0,4.0,3.0,5.0,3.0,0.0,3.0
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3.0,Research Director,2.0,Single,11994.0,21293.0,0.0,Y,No,11.0,3.0,3.0,80.0,0.0,13.0,4.0,3.0,12.0,6.0,2.0,11.0
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1.0,Research Scientist,4.0,Single,1232.0,19281.0,1.0,Y,No,14.0,3.0,4.0,80.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1.0,Research Scientist,1.0,Single,2960.0,17102.0,2.0,Y,No,11.0,3.0,3.0,80.0,0.0,8.0,2.0,3.0,4.0,2.0,1.0,3.0
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5.0,Manager,3.0,Divorced,19094.0,10735.0,4.0,Y,No,11.0,3.0,4.0,80.0,1.0,26.0,3.0,2.0,14.0,13.0,4.0,8.0
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1.0,Research Scientist,1.0,Single,3919.0,4681.0,1.0,Y,Yes,22.0,4.0,2.0,80.0,0.0,10.0,5.0,3.0,10.0,2.0,6.0,7.0
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2.0,Sales Executive,2.0,Married,6825.0,21173.0,0.0,Y,No,11.0,3.0,4.0,80.0,1.0,10.0,2.0,3.0,9.0,7.0,4.0,2.0
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3.0,Healthcare Representative,4.0,Married,10248.0,2094.0,3.0,Y,No,14.0,3.0,4.0,80.0,1.0,24.0,4.0,3.0,22.0,6.0,5.0,17.0
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5.0,Manager,1.0,Single,18947.0,22822.0,3.0,Y,No,12.0,3.0,4.0,80.0,0.0,22.0,2.0,2.0,2.0,2.0,2.0,1.0
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1.0,Laboratory Technician,4.0,Single,2496.0,6670.0,4.0,Y,No,11.0,3.0,4.0,80.0,0.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2.0,Healthcare Representative,4.0,Married,6465.0,19121.0,2.0,Y,Yes,13.0,3.0,4.0,80.0,0.0,9.0,5.0,4.0,4.0,2.0,1.0,3.0
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1.0,Laboratory Technician,3.0,Single,2206.0,16117.0,1.0,Y,No,13.0,3.0,1.0,80.0,0.0,10.0,5.0,3.0,10.0,0.0,1.0,8.0
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2.0,Sales Representative,4.0,Married,2086.0,3335.0,3.0,Y,No,14.0,3.0,3.0,80.0,1.0,19.0,6.0,4.0,1.0,0.0,0.0,0.0
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1.0,Research Scientist,4.0,Married,2293.0,3020.0,2.0,Y,Yes,16.0,3.0,1.0,80.0,1.0,6.0,2.0,2.0,2.0,0.0,2.0,0.0
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1.0,Research Scientist,3.0,Divorced,2645.0,21923.0,1.0,Y,No,12.0,3.0,4.0,80.0,2.0,6.0,3.0,2.0,5.0,3.0,1.0,4.0
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1.0,Sales Representative,3.0,Married,2683.0,3810.0,1.0,Y,Yes,14.0,3.0,3.0,80.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1.0,Sales Representative,4.0,Married,2014.0,9687.0,1.0,Y,No,13.0,3.0,1.0,80.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1.0,Research Scientist,1.0,Married,3419.0,13072.0,9.0,Y,Yes,14.0,3.0,4.0,80.0,1.0,6.0,3.0,4.0,1.0,1.0,0.0,0.0
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2.0,Sales Executive,1.0,Married,5376.0,3193.0,2.0,Y,No,19.0,3.0,1.0,80.0,2.0,10.0,3.0,3.0,5.0,3.0,1.0,3.0
35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1.0,Laboratory Technician,4.0,Divorced,1951.0,10910.0,1.0,Y,No,12.0,3.0,3.0,80.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1.0,Laboratory Technician,1.0,Divorced,2341.0,19715.0,1.0,Y,No,13.0,3.0,4.0,80.0,1.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1.0,Laboratory Technician,3.0,Single,2293.0,10558.0,1.0,Y,No,12.0,3.0,3.0,80.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3.0,Sales Executive,3.0,Single,8726.0,2975.0,1.0,Y,No,15.0,3.0,4.0,80.0,0.0,9.0,0.0,3.0,9.0,8.0,1.0,7.0
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2.0,Laboratory Technician,4.0,Single,4011.0,10781.0,1.0,Y,No,23.0,4.0,4.0,80.0,0.0,12.0,2.0,3.0,12.0,8.0,3.0,7.0
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5.0,Research Director,3.0,Married,19545.0,16280.0,1.0,Y,No,12.0,3.0,4.0,80.0,0.0,23.0,0.0,3.0,22.0,15.0,15.0,8.0
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2.0,Sales Executive,3.0,Single,4568.0,10034.0,0.0,Y,No,20.0,4.0,3.0,80.0,0.0,10.0,2.0,3.0,9.0,5.0,8.0,7.0
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1.0,Research Scientist,2.0,Married,3022.0,10227.0,4.0,Y,No,21.0,4.0,1.0,80.0,0.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2.0,Sales Executive,4.0,Single,5772.0,20445.0,4.0,Y,Yes,21.0,4.0,3.0,80.0,0.0,14.0,4.0,3.0,9.0,6.0,0.0,8.0
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1.0,Laboratory Technician,4.0,Married,2269.0,4892.0,1.0,Y,No,19.0,3.0,4.0,80.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3.0,Laboratory Technician,3.0,Single,5381.0,19294.0,9.0,Y,Yes,13.0,3.0,4.0,80.0,0.0,23.0,2.0,3.0,1.0,0.0,0.0,0.0
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1.0,Laboratory Technician,3.0,Single,3441.0,11179.0,1.0,Y,Yes,13.0,3.0,3.0,80.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2.0,Sales Executive,1.0,Divorced,5454.0,4009.0,5.0,Y,Yes,21.0,4.0,3.0,80.0,1.0,9.0,2.0,2.0,4.0,3.0,1.0,3.0
35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3.0,Healthcare Representative,1.0,Married,9884.0,8302.0,2.0,Y,Yes,13.0,3.0,3.0,80.0,1.0,10.0,3.0,3.0,4.0,0.0,2.0,3.0
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2.0,Sales Executive,4.0,Married,4157.0,21436.0,7.0,Y,Yes,19.0,3.0,3.0,80.0,1.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3.0,Research Director,4.0,Single,13458.0,15146.0,1.0,Y,Yes,12.0,3.0,3.0,80.0,0.0,15.0,1.0,3.0,15.0,14.0,8.0,12.0
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3.0,Sales Executive,1.0,Married,9069.0,11031.0,1.0,Y,No,22.0,4.0,4.0,80.0,1.0,9.0,3.0,2.0,9.0,8.0,1.0,8.0
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1.0,Laboratory Technician,1.0,Married,4014.0,16002.0,3.0,Y,Yes,15.0,3.0,3.0,80.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2.0,Laboratory Technician,4.0,Divorced,5915.0,9528.0,3.0,Y,No,22.0,4.0,4.0,80.0,1.0,10.0,3.0,2.0,7.0,7.0,1.0,7.0
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2.0,Manufacturing Director,3.0,Divorced,5993.0,2689.0,1.0,Y,No,18.0,3.0,3.0,80.0,1.0,7.0,2.0,4.0,7.0,5.0,0.0,7.0
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,33,3,2.0,Manufacturing Director,4.0,Married,6162.0,10877.0,1.0,Y,Yes,22.0,4.0,2.0,80.0,1.0,9.0,3.0,3.0,9.0,8.0,7.0,8.0
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2.0,Laboratory Technician,4.0,Single,2406.0,5456.0,1.0,Y,No,11.0,3.0,4.0,80.0,0.0,10.0,2.0,3.0,10.0,3.0,9.0,9.0
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female,43,2,5.0,Research Director,3.0,Divorced,18740.0,16701.0,5.0,Y,Yes,12.0,3.0,4.0,80.0,1.0,29.0,2.0,2.0,27.0,3.0,13.0,8.0
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3.0,Sales Executive,1.0,Single,7637.0,2354.0,7.0,Y,No,11.0,3.0,4.0,80.0,0.0,28.0,3.0,2.0,21.0,16.0,7.0,9.0
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3.0,Healthcare Representative,3.0,Divorced,10096.0,8202.0,1.0,Y,No,13.0,3.0,2.0,80.0,3.0,17.0,2.0,3.0,17.0,14.0,12.0,8.0
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female,33,3,4.0,Manager,3.0,Divorced,14756.0,19730.0,2.0,Y,Yes,14.0,3.0,3.0,80.0,3.0,21.0,2.0,3.0,5.0,0.0,0.0,2.0
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2.0,Manufacturing Director,2.0,Single,6499.0,22656.0,1.0,Y,No,13.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,6.0,5.0,0.0,3.0
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3.0,Research Scientist,1.0,Divorced,9724.0,18787.0,2.0,Y,No,17.0,3.0,3.0,80.0,1.0,25.0,2.0,3.0,1.0,0.0,0.0,0.0
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male,79,3,1.0,Research Scientist,1.0,Married,2194.0,5868.0,4.0,Y,No,13.0,3.0,4.0,80.0,1.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,79,2,1.0,Research Scientist,3.0,Married,3388.0,21777.0,0.0,Y,Yes,17.0,3.0,1.0,80.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2.0,Sales Executive,3.0,Single,5473.0,24668.0,7.0,Y,No,11.0,3.0,4.0,80.0,0.0,20.0,2.0,2.0,4.0,3.0,1.0,3.0
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1.0,Research Scientist,2.0,Married,2703.0,4956.0,0.0,Y,No,23.0,4.0,4.0,80.0,1.0,6.0,3.0,3.0,5.0,4.0,0.0,4.0
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male,87,3,1.0,Research Scientist,2.0,Single,2501.0,18775.0,1.0,Y,No,17.0,3.0,2.0,80.0,0.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2.0,Research Scientist,2.0,Married,6220.0,7346.0,1.0,Y,No,17.0,3.0,2.0,80.0,2.0,10.0,3.0,3.0,10.0,4.0,0.0,9.0
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1.0,Laboratory Technician,4.0,Married,3038.0,22002.0,3.0,Y,No,12.0,3.0,2.0,80.0,0.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2.0,Manufacturing Director,4.0,Single,4424.0,20682.0,1.0,Y,No,23.0,4.0,4.0,80.0,0.0,11.0,2.0,3.0,11.0,7.0,1.0,8.0
35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,32,2,2.0,Sales Executive,1.0,Single,4312.0,23016.0,0.0,Y,No,14.0,3.0,2.0,80.0,0.0,16.0,2.0,3.0,15.0,13.0,2.0,8.0
45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male,52,3,3.0,Research Director,1.0,Married,13245.0,15067.0,4.0,Y,Yes,14.0,3.0,2.0,80.0,0.0,17.0,3.0,4.0,0.0,0.0,0.0,0.0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,30,3,3.0,Research Director,3.0,Single,13664.0,25258.0,4.0,Y,No,13.0,3.0,1.0,80.0,0.0,16.0,3.0,4.0,5.0,2.0,0.0,2.0
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2.0,Human Resources,2.0,Divorced,5021.0,10425.0,8.0,Y,Yes,22.0,4.0,4.0,80.0,1.0,16.0,2.0,3.0,4.0,2.0,0.0,2.0
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2.0,Laboratory Technician,4.0,Married,5126.0,15998.0,1.0,Y,Yes,12.0,3.0,3.0,80.0,2.0,10.0,1.0,2.0,10.0,8.0,3.0,0.0
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,30,2,1.0,Research Scientist,3.0,Single,2859.0,26278.0,1.0,Y,No,18.0,3.0,1.0,80.0,0.0,6.0,3.0,3.0,6.0,4.0,0.0,4.0
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3.0,Sales Executive,4.0,Married,10239.0,18092.0,3.0,Y,No,14.0,3.0,4.0,80.0,1.0,24.0,4.0,3.0,1.0,0.0,1.0,0.0
38,No,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,79,1,2.0,Research Scientist,4.0,Divorced,5329.0,15717.0,7.0,Y,Yes,12.0,3.0,4.0,80.0,3.0,17.0,3.0,3.0,13.0,11.0,1.0,9.0
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,1,Male,94,3,2.0,Manufacturing Director,2.0,Married,4325.0,17736.0,1.0,Y,No,15.0,3.0,3.0,80.0,0.0,5.0,2.0,3.0,5.0,2.0,1.0,3.0
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3.0,Manufacturing Director,4.0,Single,7260.0,21698.0,4.0,Y,No,11.0,3.0,1.0,80.0,0.0,37.0,3.0,2.0,6.0,4.0,0.0,2.0
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1.0,Sales Representative,1.0,Divorced,2322.0,9518.0,3.0,Y,No,13.0,3.0,3.0,80.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,Male,96,3,1.0,Laboratory Technician,4.0,Married,2075.0,18725.0,3.0,Y,No,23.0,4.0,2.0,80.0,2.0,10.0,4.0,3.0,4.0,2.0,0.0,3.0
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,Male,99,2,2.0,Healthcare Representative,4.0,Married,4152.0,15830.0,1.0,Y,No,19.0,3.0,1.0,80.0,3.0,11.0,3.0,3.0,11.0,10.0,10.0,8.0
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,64,2,3.0,Sales Executive,4.0,Single,9619.0,13596.0,1.0,Y,No,16.0,3.0,4.0,80.0,0.0,9.0,3.0,3.0,9.0,8.0,4.0,7.0
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4.0,Healthcare Representative,2.0,Married,13503.0,14115.0,1.0,Y,No,22.0,4.0,4.0,80.0,1.0,22.0,3.0,2.0,22.0,3.0,11.0,11.0
51,No,Travel_Rarely,632,Sales,21,4,Marketing,1,120,3,Male,71,3,2.0,Sales Executive,4.0,Single,5441.0,8423.0,0.0,Y,Yes,22.0,4.0,4.0,80.0,0.0,11.0,2.0,1.0,10.0,7.0,1.0,0.0
30,No,Travel_Rarely,1334,Sales,4,2,Medical,1,121,3,Female,63,2,2.0,Sales Executive,2.0,Divorced,5209.0,19760.0,1.0,Y,Yes,12.0,3.0,2.0,80.0,3.0,11.0,4.0,2.0,11.0,8.0,2.0,7.0
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,3,Male,40,2,3.0,Healthcare Representative,1.0,Married,10673.0,3142.0,2.0,Y,Yes,13.0,3.0,3.0,80.0,1.0,21.0,5.0,2.0,10.0,9.0,9.0,5.0
32,No,Travel_Rarely,1093,Sales,6,4,Medical,1,125,2,Male,87,3,2.0,Sales Executive,3.0,Single,5010.0,24301.0,1.0,Y,No,16.0,3.0,1.0,80.0,0.0,12.0,0.0,3.0,11.0,8.0,5.0,7.0
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126,1,Female,60,3,3.0,Research Director,3.0,Married,13549.0,24001.0,9.0,Y,No,12.0,3.0,1.0,80.0,1.0,16.0,5.0,1.0,4.0,3.0,0.0,3.0
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,33,3,2.0,Sales Executive,3.0,Married,4999.0,17519.0,0.0,Y,No,21.0,4.0,1.0,80.0,1.0,4.0,2.0,2.0,3.0,2.0,0.0,2.0
28,No,Non-Travel,120,Sales,4,3,Medical,1,129,2,Male,43,3,2.0,Sales Executive,3.0,Married,4221.0,8863.0,1.0,Y,No,15.0,3.0,2.0,80.0,0.0,5.0,3.0,4.0,5.0,4.0,0.0,4.0
58,No,Travel_Rarely,682,Sales,10,4,Medical,1,131,4,Male,37,3,4.0,Sales Executive,3.0,Single,13872.0,24409.0,0.0,Y,No,13.0,3.0,3.0,80.0,0.0,38.0,1.0,2.0,37.0,10.0,1.0,8.0
44,No,Non-Travel,489,Research & Development,23,3,Medical,1,132,2,Male,67,3,2.0,Laboratory Technician,2.0,Married,2042.0,25043.0,4.0,Y,No,12.0,3.0,3.0,80.0,1.0,17.0,3.0,4.0,3.0,2.0,1.0,2.0
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,3,Male,63,3,1.0,Human Resources,1.0,Divorced,2073.0,23648.0,4.0,Y,Yes,22.0,4.0,4.0,80.0,0.0,7.0,3.0,3.0,3.0,2.0,0.0,2.0
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134,4,Male,71,3,1.0,Research Scientist,1.0,Single,2956.0,15178.0,1.0,Y,No,13.0,3.0,4.0,80.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1.0,Laboratory Technician,4.0,Single,2926.0,19783.0,1.0,Y,Yes,18.0,3.0,2.0,80.0,0.0,1.0,5.0,3.0,1.0,0.0,1.0,0.0
